PART #,REMARKS,YEAR,MONTH,MTH.LBR.HR,MTH.LAB.OVER.HR,MTH.LAB.AMT,YTD.OVERHEAD,TOTAL.MATERIAL,TOTAL
3405,ROBBINS & MYERS 5 TON BRIDGE CRANE NORTH BAY EAST END. SERIAL # 32006 DB2,2015,1,0,0,0,0,-8.65,-8.65
3317,WEST  S/N AT 207926,2015,1,0,0,0,0,-8.65,-8.65
3200,"MITUTOYO 24"" DIGITAL CALIPER",2015,11,0,0,0,,4.16,4.16
3200,HYCLE GRINDERS,2015,8,0,0,0,,5.12,5.12
3200,MDL #S150A S/N A24D2532T SCRAPPED  10/25/12 - NOT REPLACED,2015,10,0.25,0,5.32,,0,5.32
628,GENERAL SUPPORT EQUIPMENT,2015,4,0,0,0,,6.28,6.28
3200,HYSTER 6000# 1985 S/N D002D1321F  MOD# S60ES,2015,7,0.25,0,6.31,,0,6.31
3405,PINES ENGR. MOD 5-12 S/N 17200-70254,2015,11,0,0,0,,8.86,8.86
3317,"HYSTER 1997 8000 LB CAP, MDL S80XLBCS S/N D004D03646U, 3300 HRS, M109293",2015,5,0,0,0,,10.01,10.01
3200,"SIVLER STAR RECOVERY SYSTEM CONTROL S/N #4208, PUMP S/N #207137",2015,4,0,0,0,,12.29,12.29
3200,"SIVLER STAR RECOVERY SYSTEM CONTROL S/N #4208, PUMP S/N #207137",2015,5,0,0,0,,12.29,12.29
3405,PANJIRIS MOD. MVRMT 30-6 S/N 800-3937-4 CAP. 3000 LBS,2015,3,0,0,0,,12.31,12.31
2958,"HYSTER 1998 6000 LB CAP FORKLIFT H60XM S/N D177B44951V 5000 HRS, M03681",2015,3,0,0,0,,12.56,12.56
3200,DOALL SAW TF-14-H S/N36380395 1 X 172 MOVED TO 3400 FOR STORAGE 2-6-03,2015,5,0.72,0,13.44,,0,13.44
3200,PH CONTROL SYSTEM AT 3200,2015,7,0,0,0,,14.03,14.03
2440,"2440 SE RAYMOND, PORTLAND, OR. OFFICE &  WAREHOUSE.",2015,5,0,0,0,,18.52,18.52
3200,COINING PRESS SERIAL #1696,2015,4,1,0,18.67,,0,18.67
3200,GENERAL ELECTRIC EL7215008 VOLTS:230 CYCLE:360 AMPS:120,2015,9,0,0,0,,21.95,21.95
628,"REZNOR MDL RA500, S/N BDCRA50011004X",2015,2,0,0,0,,23.41,23.41
27402,"STARRETT 0-1"" DIGITAL MICROMETER  MODEL 216",2015,3,0,0,0,,25.98,25.98
27402,"FOWLER 0-1"" ELECTRONIC DIGITAL MIC.",2015,3,0,0,0,,25.99,25.99
27402,FRUEHAUF FLATBED TRAILER 27' VIN 1H4P02816GJ020201,2015,5,0,0,0,,26.26,26.26
27402,"STARRETT 0-1"" TUBE MIC 02",2015,7,0,0,0,,26.26,26.26
628,MOD#  A 22432-4,2015,3,0,0,0,,27.5,27.5
628,MOD# A-22432-3,2015,3,0,0,0,,27.5,27.5
4700,STARETT MICROMETER MOD# 436,2015,6,0,0,0,,27.5,27.5
4700,"STARRETT 0-1"" MICROMETER MOD#436-1",2015,6,0,0,0,,27.5,27.5
2958,"STARRETT 12"" SCALE",2015,12,0,0,0,,27.5,27.5
3405,STARRETT MODEL NO. C310R-24 SN#  12/#13504130,2015,1,0,0,0,0,27.5,27.5
27402,"STARRETT 6"" PRECISION SQUARE MOD# 20",2015,7,0,0,0,,27.95,27.95
27402,"STARRETT MIC 1-2""",2015,3,0,0,0,,28.15,28.15
27402,"SPI 0-1"" MICROMETER S/N 100483325",2015,7,0,0,0,,28.45,28.45
1333,GENERAL SUPPORT FOR SAN DIEGO,2015,4,0,0,0,,29.17,29.17
3200,"MISC. WELD. APP.,INCLUDES LINDE'S FOR  HOT WIRE @ 5559, 1019, 1010, 1002.",2015,3,0,0,0,,30,30
3200,"1952 WMS./WHITE HYD. PRESS, S/N C-2882 36"" X 144"" X 2"" THICK BED, GE 20HP MTR.",2015,5,0,0,0,,31.92,31.92
27402,"STARRETT - 0 - 1"" TUBE MOD# 569",2015,10,0,0,0,,32.16,32.16
3317,ACCO POWER UNIT FOR MULTI PAD VACU LIFT,2015,10,0,0,0,,32.59,32.59
27402,ANVER MECHANICAL 700# MAX CAP@3008 SHEAR,2015,10,0,0,0,,32.59,32.59
27402,"ANVER MECHANICAL MOD 2505 S/N 490278 2500# MAX CAP. @4651, SAW MFG 8-90",2015,10,0,0,0,,32.59,32.59
4700,"SHEET LIFTER  10,000 LB CAPACITY 72"" MAX. SHEET WIDTH  MFG DATE 1997",2015,10,0,0,0,,32.59,32.59
27402,1998 INTERNATIONAL LIC # B21675T VIN # 1HSHBAHN2XH624680 M11877,2015,1,0,0,0,0,32.79,32.79
27402,1998 INTERNATIONAL LIC # B21675T VIN # 1HSHBAHN2XH624680 M11877,2015,10,0,0,0,,32.79,32.79
27402,1998 INTERNATIONAL LIC # B21675T VIN # 1HSHBAHN2XH624680 M11877,2015,11,0,0,0,,32.79,32.79
27402,1998 INTERNATIONAL VIN #2HSFPANXWC062882 LIC# A31711P,2015,10,0,0,0,,32.79,32.79
27402,1999 INTERNATIONAL 2HSFPAENOXC02591 LIC#A21146U,2015,10,0,0,0,,32.79,32.79
27402,2006 INTERNATIONAL 8600 TRACTOR VIN # 1HSHXAHR36J248955,2015,10,0,0,0,,32.79,32.79
27402,"INTERNATIONAL TRACTOR 9200, 2006 2HSCEAPR26H234464, M07143",2015,10,0,0,0,,32.79,32.79
628,1987 CHEV ASTRO VAN LIC # 893-YBP VIN  #1GNDM15Z9HB254574,2015,11,0,0,0,,32.8,32.8
628,"FORD RANGER 2003, VIN# 1FTYR10DX3PB51909 LIC# B28201H",2015,11,0,0,0,,32.8,32.8
2440,1996 FOR LA9000 LIC# LACH558 VIN# 1FTYS95L8TVA08374,2015,9,0,0,0,,32.81,32.81
2440,"INTERNATIONAL 9100, 1999, M10559 VIN2HSFPAEN7XC023592",2015,6,0,0,0,,32.81,32.81
2440,PETERBUILT 2002 LIC# YAFD402 MDL# 330 VIN# 2XPNAZ7X82M580905,2015,7,0,0,0,,32.81,32.81
2440,PETERBUILT 2002 TRACTOR MLD 330 LI# YAFD401 VIN# 2XPNAZ7X62M580904,2015,9,0,0,0,,32.81,32.81
27402,"PETERBUILT 378, 2006, 80,000 GVW, MO5898 VIN 1XPFD49X86D643847, LIC. # B75616P",2015,7,0,0,0,,32.81,32.81
27402,1998 INTERNATIONAL LIC # B21675T VIN # 1HSHBAHN2XH624680 M11877,2015,6,0,0,0,,32.82,32.82
27402,1998 INTERNATIONAL LIC # B21675T VIN # 1HSHBAHN2XH624680 M11877,2015,7,0,0,0,,32.82,32.82
27402,1998 INTERNATIONAL VIN #2HSFPANXWC062882 LIC# A31711P,2015,4,0,0,0,,32.82,32.82
27402,1999 INTERNATIONAL 2HSFPAENOXC02591 LIC#A21146U,2015,9,0,0,0,,32.82,32.82
27402,1999 INTERNATIONAL LIC# B27933P VIN# 2HSFPAEN9XC023593,2015,9,0,0,0,,32.82,32.82
27402,2001 INTERNATIONAL LIC# B31622L MDL 8100 VIN 1HSHBAHNX1H265587,2015,6,0,0,0,,32.82,32.82
27402,2001 INTERNATIONAL LIC# B31622L MDL 8100 VIN 1HSHBAHNX1H265587,2015,7,0,0,0,,32.82,32.82
27402,2001 INTERNATIONAL LIC# B31622L MDL 8100 VIN 1HSHBAHNX1H265587,2015,9,0,0,0,,32.82,32.82
27402,2006 INTERNATIONAL 8600 TRACTOR VIN # 1HSHXAHR36J248955,2015,7,0,0,0,,32.82,32.82
27402,VIN# 1HSHXAHRX6J248984,2015,6,0,0,0,,32.82,32.82
27402,VIN# 1HSHXAHRX6J248984,2015,9,0,0,0,,32.82,32.82
27402,"MITUTOYO 18"" DIGITAL CALIPER",2015,6,0,0,0,,33,33
3200,"MITUTOYO 18"" DIGITAL CALIPER 500-505-40 S/N 0005330 P.O. M85755",2015,4,0,0,0,,33,33
3200,"MITUTOYO 24"" DIGITAL CALIPER",2015,3,0,0,0,,33,33
2958,MITUTOYO S/N 7007084 MOD# CD-24,2015,5,0,0,0,,33,33
3405,PROTO TORQUE WRENCH 0-15 FT. LB 3/4 DRIVE,2015,9,0,0,0,,33,33
3200,"STARRETT 24"" ELECTRONIC DIGITAL CALIPER MDL 799AZ-24/600 S/N 07/420048",2015,5,0,0,0,,33,33
3200,AUTOQUIP S/N 128944372 MDL #36525,2015,5,0,0,0,,33.25,33.25
27402,"0-1"" DIGITAL MIC W/TUBE ADAPTOR S/N 01033625 MDL. 790",2015,3,0,0,0,,33.58,33.58
27402,1 PAD VACUUM LIFT,2015,5,0,0,0,,34,34
27402,1 PAD VACUUM LIFT,2015,12,0,0,0,,34,34
27402,10 PAD ACCO VACU-LIFT  MOD XB3200-14-4-3-8 B10,2015,1,0,0,0,0,34,34
27402,10 PAD ACCO VACU-LIFT  MOD XB3200-14-4-3-8 B10,2015,5,0,0,0,,34,34
27402,10 PAD ACCO VACU-LIFT  MOD XB3200-14-4-3-8 B10,2015,6,0,0,0,,34,34
3317,ACCO 12 VOLT DC S/N 11-5743  MOD# B 3200 (PLASMA TABLE),2015,1,0,0,0,0,34,34
3317,ACCO 12 VOLT DC S/N 11-5743  MOD# B 3200 (PLASMA TABLE),2015,5,0,0,0,,34,34
3317,ACCO 12 VOLT DC S/N 11-5743  MOD# B 3200 (PLASMA TABLE),2015,6,0,0,0,,34,34
3200,ACCO 12V D.C. VAC-U-LIFT S/N99-1118898 MDL 3200B,2015,1,0,0,0,0,34,34
3200,ACCO 12V D.C. VAC-U-LIFT S/N99-1118898 MDL 3200B,2015,5,0,0,0,,34,34
3200,ACCO 12V D.C. VAC-U-LIFT S/N99-1118898 MDL 3200B,2015,6,0,0,0,,34,34
4700,ACCO 8 PAD VAC-U-LIFT S/N 1062590 MDL B3200,2015,1,0,0,0,0,34,34
4700,ACCO 8 PAD VAC-U-LIFT S/N 1062590 MDL B3200,2015,5,0,0,0,,34,34
4700,ACCO 8 PAD VAC-U-LIFT S/N 1062590 MDL B3200,2015,6,0,0,0,,34,34
27402,ACCO MANSAVER SHEET LIFTER 20000 LB CAP S/N 1307392,2015,1,0,0,0,0,34,34
27402,ACCO MANSAVER SHEET LIFTER 20000 LB CAP S/N 1307392,2015,5,0,0,0,,34,34
27402,ACCO MANSAVER SHEET LIFTER 20000 LB CAP S/N 1307392,2015,6,0,0,0,,34,34
3317,"ACCO MOD 121323-1 S/N X5600  4100# MAX CAP, 415#/PAD",2015,1,0,0,0,0,34,34
3317,"ACCO MOD 121323-1 S/N X5600  4100# MAX CAP, 415#/PAD",2015,5,0,0,0,,34,34
3317,"ACCO MOD 121323-1 S/N X5600  4100# MAX CAP, 415#/PAD",2015,6,0,0,0,,34,34
27402,ACCO MOD# XB3200-14-4-3-8B10 N25  S/N A0950 4100# MAX CAP. 415#/PAD,2015,1,0,0,0,0,34,34
27402,ACCO MOD# XB3200-14-4-3-8B10 N25  S/N A0950 4100# MAX CAP. 415#/PAD,2015,5,0,0,0,,34,34
27402,ACCO MOD# XB3200-14-4-3-8B10 N25  S/N A0950 4100# MAX CAP. 415#/PAD,2015,6,0,0,0,,34,34
3317,ACCO POWER HEAD FOR MULTI PAD VAC LIFT,2015,1,0,0,0,0,34,34
3317,ACCO POWER HEAD FOR MULTI PAD VAC LIFT,2015,5,0,0,0,,34,34
3317,ACCO POWER HEAD FOR MULTI PAD VAC LIFT,2015,6,0,0,0,,34,34
27402,ACCO POWER HEAD FOR MULTI PAD VACU LIFT,2015,1,0,0,0,0,34,34
3317,ACCO POWER UNIT FOR MULTI PAD VACU LIFT,2015,1,0,0,0,0,34,34
27402,"ACCO S/N 11-0662-1  10,000# MAX CAP.",2015,5,0,0,0,,34,34
3200,ACCO S/N 5126 3750# MAX CAP 625#/PAD,2015,1,0,0,0,0,34,34
3200,ACCO S/N 5126 3750# MAX CAP 625#/PAD,2015,5,0,0,0,,34,34
3200,ACCO S/N 5126 3750# MAX CAP 625#/PAD,2015,6,0,0,0,,34,34
3200,ANVER 4 PAD OVAL VAC LIFT W/POWER HEAD MDL M160M4-190OCR S/N 408468-1,2015,1,0,0,0,0,34,34
3200,ANVER 4 PAD OVAL VAC LIFT W/POWER HEAD MDL M160M4-190OCR S/N 408468-1,2015,5,0,0,0,,34,34
3200,ANVER 4 PAD OVAL VAC LIFT W/POWER HEAD MDL M160M4-190OCR S/N 408468-1,2015,6,0,0,0,,34,34
27402,ANVER 8 PAD MECHANICAL VACUUM LIFT MDL M250M-L & L200M8-231-4/44,2015,1,0,0,0,0,34,34
27402,ANVER 8 PAD MECHANICAL VACUUM LIFT MDL M250M-L & L200M8-231-4/44,2015,5,0,0,0,,34,34
27402,ANVER 8 PAD MECHANICAL VACUUM LIFT MDL M250M-L & L200M8-231-4/44,2015,6,0,0,0,,34,34
3317,ANVER MECH. 700# MAX CAP @ 1018 SPLICER MDLM70S S/N604916-1,2015,5,0,0,0,,34,34
3317,ANVER MECH. 700# MAX CAP @ 1018 SPLICER MDLM70S S/N604916-1,2015,12,0,0,0,,34,34
27402,ANVER MECHANICAL 700# MAX CAP@3008 SHEAR,2015,1,0,0,0,0,34,34
27402,"ANVER MECHANICAL MOD 2505 S/N 490278 2500# MAX CAP. @4651, SAW MFG 8-90",2015,1,0,0,0,0,34,34
3317,"ANVER MECHANICAL MOD# 80M E PA-85 PA-135 700# MAX CAP. 12""OAD   MFG  8-90",2015,5,0,0,0,,34,34
3317,"ANVER MECHANICAL MOD# 80M E PA-85 PA-135 700# MAX CAP. 12""OAD   MFG  8-90",2015,12,0,0,0,,34,34
27402,ANVER SINGLE PAD MECHANICAL VACUUM LIFT,2015,3,0,0,0,,34,34
27402,ANVER SINGLE PAD MECHANICAL VACUUM LIFT,2015,6,0,0,0,,34,34
27402,ANVER SINGLE PAD MECHANICAL VACUUM LIFT 1100 LB CAP. S/N 080001983,2015,5,0,0,0,,34,34
27402,ANVER SINGLE PAD MECHANICAL VACUUM LIFT 1100 LB CAP. S/N 080001983,2015,6,0,0,0,,34,34
27402,ANVER VACUUM LIFTER M100M SN#,2015,5,0,0,0,,34,34
27402,ANVER VACUUM LIFTER M100M SN#,2015,6,0,0,0,,34,34
27402,ANVEWR 3 PAD VACU-LIFT 6000 LBS. MAX. 12' X 6' MAX. LOAD SIZE,2015,1,0,0,0,0,34,34
27402,ANVEWR 3 PAD VACU-LIFT 6000 LBS. MAX. 12' X 6' MAX. LOAD SIZE,2015,5,0,0,0,,34,34
27402,ANVEWR 3 PAD VACU-LIFT 6000 LBS. MAX. 12' X 6' MAX. LOAD SIZE,2015,6,0,0,0,,34,34
27402,"CADY LIFTERS S/N E1695 MOD# SL10206D 10,000# MAX CAP. MFG 1976",2015,6,0,0,0,,34,34
27402,CMCI  MOD# D-00582-1 S/N 0582,2015,3,0,0,0,,34,34
3200,"CMCI PUP 330# MAX CAP. 19""OAD @ #1025 & @1008",2015,1,0,0,0,0,34,34
3200,"CMCI PUP 330# MAX CAP. 19""OAD @ #1025 & @1008",2015,5,0,0,0,,34,34
3200,"CMCI PUP 330# MAX CAP. 19""OAD @ #1025 & @1008",2015,6,0,0,0,,34,34
3317,"CMCI PUP 330B  19""OAD 330# MAX CAP.",2015,1,0,0,0,0,34,34
3317,"CMCI PUP 330B  19""OAD 330# MAX CAP.",2015,5,0,0,0,,34,34
3317,"CMCI PUP 330B  19""OAD 330# MAX CAP.",2015,6,0,0,0,,34,34
27402,M15M-QD2 SELF POWERED VACUUM LIFTER,2015,1,0,0,0,0,34,34
27402,M15M-QD2 SELF POWERED VACUUM LIFTER,2015,6,0,0,0,,34,34
27402,M70S SELF POWERED VACUUMLIFTER,2015,1,0,0,0,0,34,34
27402,M70S SELF POWERED VACUUMLIFTER,2015,5,0,0,0,,34,34
27402,M70S SELF POWERED VACUUMLIFTER,2015,6,0,0,0,,34,34
3317,MOD XB 3200-14-4-3-8-B10-N30,2015,1,0,0,0,0,34,34
3317,MOD XB 3200-14-4-3-8-B10-N30,2015,5,0,0,0,,34,34
3317,MOD XB 3200-14-4-3-8-B10-N30,2015,6,0,0,0,,34,34
27402,POSI TURNER MDL 6LS-120 S/N 07-87441 CAP. 1420 LBS.,2015,3,0,0,0,,34,34
27402,POSI TURNER MDL 6LS-120 S/N 07-87441 CAP. 1420 LBS.,2015,6,0,0,0,,34,34
27402,1 PAD VACUUM LIFT,2015,3,0,0,0,,34.52,34.52
3317,ANVER MECH. 700# MAX CAP @ 1018 SPLICER MDLM70S S/N604916-1,2015,3,0,0,0,,34.52,34.52
3317,"ANVER MECHANICAL MOD# 80M E PA-85 PA-135 700# MAX CAP. 12""OAD   MFG  8-90",2015,3,0,0,0,,34.52,34.52
4700,"72"" COIL C-HOOK  50,000 LB CAPACITY MFG DATE 1997",2015,8,0,0,0,,35.54,35.54
3317,ACCO 12 VOLT DC S/N 11-5743  MOD# B 3200 (PLASMA TABLE),2015,7,0,0,0,,35.54,35.54
3317,ACCO 12 VOLT DC S/N 11-5743  MOD# B 3200 (PLASMA TABLE),2015,8,0,0,0,,35.54,35.54
3317,ACCO 12 VOLT DC S/N 11-5743  MOD# B 3200 (PLASMA TABLE),2015,9,0,0,0,,35.54,35.54
3200,ACCO 12V D.C. VAC-U-LIFT S/N99-1118898 MDL 3200B,2015,7,0,0,0,,35.54,35.54
3200,ACCO 12V D.C. VAC-U-LIFT S/N99-1118898 MDL 3200B,2015,8,0,0,0,,35.54,35.54
3200,ACCO 12V D.C. VAC-U-LIFT S/N99-1118898 MDL 3200B,2015,9,0,0,0,,35.54,35.54
4700,ACCO 8 PAD VAC-U-LIFT S/N 1062590 MDL B3200,2015,7,0,0,0,,35.54,35.54
4700,ACCO 8 PAD VAC-U-LIFT S/N 1062590 MDL B3200,2015,9,0,0,0,,35.54,35.54
27402,ACCO MANSAVER SHEET LIFTER 20000 LB CAP S/N 1307392,2015,7,0,0,0,,35.54,35.54
3317,"ACCO MOD 121323-1 S/N X5600  4100# MAX CAP, 415#/PAD",2015,8,0,0,0,,35.54,35.54
3317,ACCO POWER HEAD FOR MULTI PAD VAC LIFT,2015,8,0,0,0,,35.54,35.54
3317,ACCO POWER HEAD FOR MULTI PAD VAC LIFT,2015,9,0,0,0,,35.54,35.54
3317,ACCO POWER UNIT FOR MULTI PAD VACU LIFT,2015,7,0,0,0,,35.54,35.54
3200,ANVER 4 PAD OVAL VAC LIFT W/POWER HEAD MDL M160M4-190OCR S/N 408468-1,2015,7,0,0,0,,35.54,35.54
3200,ANVER 4 PAD OVAL VAC LIFT W/POWER HEAD MDL M160M4-190OCR S/N 408468-1,2015,8,0,0,0,,35.54,35.54
3200,ANVER 4 PAD OVAL VAC LIFT W/POWER HEAD MDL M160M4-190OCR S/N 408468-1,2015,9,0,0,0,,35.54,35.54
27402,ANVER 8 PAD MECHANICAL VACUUM LIFT MDL M250M-L & L200M8-231-4/44,2015,7,0,0,0,,35.54,35.54
3317,ANVER MECH. 700# MAX CAP @ 1018 SPLICER MDLM70S S/N604916-1,2015,8,0,0,0,,35.54,35.54
27402,ANVER MECHANICAL 700# MAX CAP@3008 SHEAR,2015,7,0,0,0,,35.54,35.54
27402,"ANVER MECHANICAL MOD 2505 S/N 490278 2500# MAX CAP. @4651, SAW MFG 8-90",2015,7,0,0,0,,35.54,35.54
3317,"ANVER MECHANICAL MOD# 80M E PA-85 PA-135 700# MAX CAP. 12""OAD   MFG  8-90",2015,8,0,0,0,,35.54,35.54
27402,ANVER SINGLE PAD MECHANICAL VACUUM LIFT,2015,10,0,0,0,,35.54,35.54
27402,ANVER SINGLE PAD MECHANICAL VACUUM LIFT,2015,12,0,0,0,,35.54,35.54
27402,ANVEWR 3 PAD VACU-LIFT 6000 LBS. MAX. 12' X 6' MAX. LOAD SIZE,2015,7,0,0,0,,35.54,35.54
3317,MOD XB 3200-14-4-3-8-B10-N30,2015,8,0,0,0,,35.54,35.54
3317,MOD XB 3200-14-4-3-8-B10-N30,2015,9,0,0,0,,35.54,35.54
27402,POSI TURNER MDL 6LS-120 S/N 07-87441 CAP. 1420 LBS.,2015,10,0,0,0,,35.54,35.54
27402,POSI TURNER MDL 6LS-120 S/N 07-87441 CAP. 1420 LBS.,2015,12,0,0,0,,35.54,35.54
4700,"SHEET LIFTER  20,000 LB CAPACITY 96"" MAX. SHEET WIDTH  MFG DATE 1997",2015,9,0,0,0,,35.54,35.54
27402,1 PAD VACUUM LIFT,2015,8,0,0,0,,35.55,35.55
27402,10 PAD ACCO VACU-LIFT  MOD XB3200-14-4-3-8 B10,2015,7,0,0,0,,35.55,35.55
27402,10 PAD ACCO VACU-LIFT  MOD XB3200-14-4-3-8 B10,2015,8,0,0,0,,35.55,35.55
27402,10 PAD ACCO VACU-LIFT  MOD XB3200-14-4-3-8 B10,2015,9,0,0,0,,35.55,35.55
27402,ACCO MANSAVER SHEET LIFTER 20000 LB CAP S/N 1307392,2015,8,0,0,0,,35.55,35.55
27402,ACCO MANSAVER SHEET LIFTER 20000 LB CAP S/N 1307392,2015,9,0,0,0,,35.55,35.55
3317,"ACCO MOD 121323-1 S/N X5600  4100# MAX CAP, 415#/PAD",2015,7,0,0,0,,35.55,35.55
27402,ACCO MOD# XB3200-14-4-3-8B10 N25  S/N A0950 4100# MAX CAP. 415#/PAD,2015,7,0,0,0,,35.55,35.55
27402,ACCO MOD# XB3200-14-4-3-8B10 N25  S/N A0950 4100# MAX CAP. 415#/PAD,2015,8,0,0,0,,35.55,35.55
3317,ACCO POWER HEAD FOR MULTI PAD VAC LIFT,2015,7,0,0,0,,35.55,35.55
3200,ACCO S/N 5126 3750# MAX CAP 625#/PAD,2015,7,0,0,0,,35.55,35.55
3200,ACCO S/N 5126 3750# MAX CAP 625#/PAD,2015,8,0,0,0,,35.55,35.55
3200,ACCO S/N 5126 3750# MAX CAP 625#/PAD,2015,9,0,0,0,,35.55,35.55
27402,ANVER 8 PAD MECHANICAL VACUUM LIFT MDL M250M-L & L200M8-231-4/44,2015,8,0,0,0,,35.55,35.55
27402,ANVER 8 PAD MECHANICAL VACUUM LIFT MDL M250M-L & L200M8-231-4/44,2015,9,0,0,0,,35.55,35.55
27402,ANVER SINGLE PAD MECHANICAL VACUUM LIFT,2015,9,0,0,0,,35.55,35.55
27402,ANVER SINGLE PAD MECHANICAL VACUUM LIFT 1100 LB CAP. S/N 080001983,2015,7,0,0,0,,35.55,35.55
27402,ANVER SINGLE PAD MECHANICAL VACUUM LIFT 1100 LB CAP. S/N 080001983,2015,8,0,0,0,,35.55,35.55
27402,ANVER SINGLE PAD MECHANICAL VACUUM LIFT 1100 LB CAP. S/N 080001983,2015,9,0,0,0,,35.55,35.55
27402,ANVER VACUUM LIFTER M100M SN#,2015,7,0,0,0,,35.55,35.55
27402,ANVER VACUUM LIFTER M100M SN#,2015,8,0,0,0,,35.55,35.55
27402,ANVER VACUUM LIFTER M100M SN#,2015,9,0,0,0,,35.55,35.55
27402,ANVEWR 3 PAD VACU-LIFT 6000 LBS. MAX. 12' X 6' MAX. LOAD SIZE,2015,8,0,0,0,,35.55,35.55
27402,ANVEWR 3 PAD VACU-LIFT 6000 LBS. MAX. 12' X 6' MAX. LOAD SIZE,2015,9,0,0,0,,35.55,35.55
3200,"CMCI PUP 330# MAX CAP. 19""OAD @ #1025 & @1008",2015,7,0,0,0,,35.55,35.55
3317,"CMCI PUP 330B  19""OAD 330# MAX CAP.",2015,7,0,0,0,,35.55,35.55
3317,"CMCI PUP 330B  19""OAD 330# MAX CAP.",2015,8,0,0,0,,35.55,35.55
27402,M15M-QD2 SELF POWERED VACUUM LIFTER,2015,7,0,0,0,,35.55,35.55
27402,M15M-QD2 SELF POWERED VACUUM LIFTER,2015,8,0,0,0,,35.55,35.55
27402,M15M-QD2 SELF POWERED VACUUM LIFTER,2015,9,0,0,0,,35.55,35.55
27402,M70S SELF POWERED VACUUMLIFTER,2015,8,0,0,0,,35.55,35.55
27402,M70S SELF POWERED VACUUMLIFTER,2015,9,0,0,0,,35.55,35.55
3317,MOD XB 3200-14-4-3-8-B10-N30,2015,7,0,0,0,,35.55,35.55
27402,POSI TURNER MDL 6LS-120 S/N 07-87441 CAP. 1420 LBS.,2015,9,0,0,0,,35.55,35.55
27402,1000 # CAP SCALE  W/PORTA-TRONIC 800 19 X 25 BASE W/GE 600 INDICATOR,2015,3,0,0,0,,36.8,36.8
27402,1000 # CAP SCALE W/PORTA-TRONIC 800 9 X 25 BASE  W/GE 600 EXB INDICATOR,2015,3,0,0,0,,36.8,36.8
27402,BENCH SCALE 150#CAP SN#ADV2770451-2BD,2015,3,0,0,0,,36.8,36.8
27402,DORAN 150 LB. DIGITAL BENCH SCALE SOUTH MIDDLE UPS AREA,2015,3,0,0,0,,36.8,36.8
27402,"GSE SAWHORSE SCALE, 5000 LB. CAP. W/GSE 350 CONTROLLER S/N 082407-2",2015,3,0,0,0,,36.8,36.8
27402,"PORTA WEIGH MOD# MSI-4260 S/N 2015-10030 CAP: 10,000# PHILLIPS SCALE CO.",2015,3,0,0,0,,36.8,36.8
27402,SALER BRECKNELL 10000 LB CAP SAWHORSE SCALE MDL 200 M123952,2015,3,0,0,0,,36.8,36.8
